75286349	47917	127357399	71296857|173784496|213363107|23914100|197927367|63846748|164894366|176757177|98346715|115530559|161780784|160594758|92798876|164907594|170865025|84702348|154702851|194505040|91148762|104833288|145028724|213626226|20417769|75117451|93200287|80509962|202542367|170749097|74147034|204252339|51663138|57841117|168396682|168213332|177434023|123651243|179213696|131572544|149634912|59782496|156567607|126393442|163876569|211727989|61350408|26829549|165570232|67495115|119654680|54872274|211508717|78677246|63772787|92616555|132816338|173621694|42366385|44379452|96823330|102154083|191570473|206298935|183869980|175856809|27294851|194192297|49071209|210261143|126534446|150892529|75123594|40081294|49148859|144263610|87286916|183152814|146638129|90521453|204241770|60554287|196891619|123778515|49149123|152155954|155326491|41335678|130021696|134050651|217837708|87774298|149900531|146479918|88837881|216396269|59252647|211468337|116491910|218352158|95645388
144341378	18347	148263790	181841364|152633689|122752571|113093863|189069029|165860662|154481844|207912268|182142364|200572882|204942714|92528313|106767699|174529153|193959775|112765039|186400179|46918192|46930835|212820460|149369253|48304279|132588836|107594170|82882206|169943318|155335414|95406362|123456472|180183880|130385276|7109966|99212368|182713336|52357067|120558285|69364747|133966529|196316621|97367815|31345361|118805403|102803697|63507209|94026787|38649498|107781179|110364555|178443149|129074336|26686010|116348647|86217879|65396424|216795530|45922794|100910727|112028272|156018828|70165821|93168913|70838405|100350781|48291468|192793404|67603984|101194028|167890301|194805149|161358383|119122853|95297295|131037275|103670555|83919752|155045415|93050942|179584746|87942587|112658446|191014801|68440617|95530276|102677980|46673382|203985132|74261466|184651102|71101103|79691253|200787708|134702922|129959279|149670201|15514584|183076393|66728032|158041037|29512648
33998263	16678	87306802	206285194|123491327|194423812|197087900|142425111|116955768|115721760|202189004|113082570|65502435|220326824|59944035|104998761|191869696|113674536|210601107|38122681|207535562|184667784|149442654|159604284|206229005|155519787|209699657|25521128|220599252|84920903|198340446|2930995|195356109|81141454|214039551|32011843|119048108|56101459|91177212|134375624|138626672|139956894|170120901|55218922|92270168|155196937|197927388|147501913|159124062|21482899|46599710|147673599|71372842|194914916|173244940|154140916|107570387|209379019|212668225|78405631|122356878|208107068|77681928|201236953|70056331|128072823|209360411|3644377|53184015|151231308|134660114|84839858|62608692|174882289|23330330|135848195|156087357|191247999|67394119|195525108|208404865|75243563|143412360|187722275|70202169|202205214|120119890|102158464|144899795|91427120|194641035|133180309|156747882|211167291|156296602|60980984|168452021|88188059|185857637|102859360|142210557|208640382
129814435	2172	148460700	130508610|163006984|106448653|153396493|108267651|123461851|156386209|126638723|164687971|129853048|185966177|25579280|106151091|138732120|166900252|52038696|127436388|92298632|146403956|121333389|104973993|116954981|64851911|11957040|103585241|36219582|211851781|174814505|162190904|130298863|88231051|174112813|212898145|131328798|198744210|124249431|133305688|84999094|144431250|127548325|196719615|203905331|49080979|101628026|157622738|173537261|159316279|216314783|193815428|133203803|88969884|28057546|149423732|165389553|77091489|150978063|162578936|122188339|215457937|48947682|113931438|90572160|131029249|53929461|163383157|99146410|94374477|198076154|130340844|101998182|146959065|176837384|197326027|204696565|179091354|64083224|62071340|203686529|151936541|116282181|219427536|122321343|205888249|133719160|205485761|8681093|193474302|92031848|166244115|164317131|141155472|84846697|178970095|148079028|88236761|204243228|139304486|206264567|141693969
171485520	28335	171525890	208614092|62483702|165126274|158523330|96502835|116639909|61014636|40471995|155585946|163125790|49675633|77264662|75584156|113979630|187574527|95080417|98394179|112052094|88930679|37642659|79619497|189327321|23822136|195352604|49486929|108459826|86429432|152621987|93345009|195750713|95754674|176705542|207487186|196226153|14289332|168269948|96846946|99341832|61393902|189899924|136415750|212149592|78112957|215278397|69022256|103162651|74099751|46018874|146244870|159004112|122842254|130309575|145310499|175884934|188161769|138956892|185288593|119007473|64668394|171618539|142639823|151872943|202553280|125896071|178006634|177386431|171568280|183569264|160461455|87909520|134979905|177584983|163637774|154008501|116802895|147017111|114749939|81917838|110116835|92333152|106688251|176029244|23816945|159709996|47383885|52819105|167242455|147524873|76398372|142463431|196133043|56189086|155641980|217425157|135695923|63345384|173178798|131906902|33156674
188018830	26204	187560234	109129569|212060895|94153510|166627731|144210563|4147507|206380254|190149517|94752251|40219907|121692990|156094550|167447890|75741539|35842969|199774096|203018218|194569063|159923969|59529254|206498281|173627077|149848009|214326593|108750590|184685000|201604170|116583854|65394190|152753520|183907980|107184039|173637416|76435301|120856085|77227977|121958778|171251314|179543581|139330250|154244876|117657528|202126765|179279314|218745756|79216488|69188667|136485867|165913867|182372835|217823978|130294883|135060324|216239732|96496977|58113039|74578124|140731204|207946834|215563166|205762161|99133201|97666402|99176771|192635067|146626992|165550853|143385627|161243436|133076095|138373057|143060067|201096631|11661779|153798137|94390467|127410563|116409449|116151963|184516960|97773207|217117545|123157881|143183725|126129774|187741342|178046045|78067548|133879139|118702743|219249602|181258263|96683515|514213|112549565|127781377|98110637|78528721|70117272
61540476	8496	70615989	219309940|135553365|156526728|65663941|140423909|213475310|46562891|191852129|156704457|159947410|159489645|57985598|182880326|196067808|218709326|120455498|120891961|206269311|211600117|169591972|62543868|109093063|210993690|84322957|152762894|123230383|88589333|118598233|102155196|208131656|195339238|50291991|42028375|219334823|21482899|71357771|102861629|43222324|211677892|121522292|69710032|199518203|201572176|75259564|174987809|184395422|73906868|203558686|105735503|104405542|203819871|218158135|141403176|63818927|68089716|92217706|206511982|194382044|109982424|74890354|129949587|209586856|143586913|76900259|206908332|194089922|129874721|153598077|162625395|160469256|134821028|184025283|24403908|201048772|130806852|170615748|102231369|95898755|157538615|159001315|129798385|202562212|149628638|189812413|146136674|184270438|212877254|73440773|66861547|210208450|153266034|190134314|117625848|90968201|178140332|219734537|66346020|130787470|214220742
104539711	3403	109264260	120915473|159505462|12534548|65332040|150240743|96937098|161405143|139117850|160814354|172238774|156911841|125902751|22762195|13885845|192237164|73436148|32000757|67304011|19953292|150876884|200450892|92277496|3513335|93630327|194879315|13809887|162999544|127356043|209150366|182858073|75264775|115025302|144337309|156841444|66457460|204966607|204166713|9903009|61517287|117565556|213299554|50728501|206343723|73513671|161441952|184539145|205971879|146272194|180683967|130850546|203277279|206382226|105193044|116839199|184089799|24733537|44042745|156909979|113538932|29503059|49940277|105303380|101104148|121146736|61691224|112208487|75436538|218362818|72554871|185367492|94982759|203917564|171618539|155455966|104003795|49120606|33724264|95043272|145070917|187981281|91326581|152093721|207161114|73069456|211133487|66696016|209897176|129735581|97082795|18758021|100778270|202143668|190286410|137899654|159913873|122964909|56715963|123056632|128122174
195248181	363	78407287	118339995|195526574|132608685|161827586|162496846|137509462|101132343|114533603|215568838|156786933|82506719|98353166|220496393|173878532|208636955|185751326|130860620|176099828|129183063|217931606|154099275|1576064|111171691|199645102|17387336|150797434|148063221|145635144|114210711|149898148|203723003|130286619|147860074|196343986|141907801|213364978|193779390|141810128|159640630|179973892|98706340|140966615|111305477|147329294|93966484|207092224|156776121|144665107|157834220|88528079|121734624|140202516|172516794|171155013|186603628|61540191|73895469|138133051|143910319|11660266|12279064|197592117|96905193|146587812|127546369|130583538|100956285|183356290|103212254|87604025|90419748|141702221|65622672|145394563|125656135|71569884|216328227|75266211|217949297|117374743|188327836|199887136|149441632|125965882|98725377|188941834|103652228|130011115|81028577|73040384|129551446|181799548|110118142|201567173|215831856|154837298|123643514|143602358|163195696
193558159	100	172079482	89963508|64085136|146616374|188830579|212021488|110376334|93913340|124801753|99716193|218880703|211618877|161421570|105032044|52680724|65964229|195568976|184581009|78229494|147833675|153783436|204853257|188207412|93508864|84664283|51408711|215333951|154195468|147244222|148288389|70195926|153522172|50696025|177611503|100110238|199027608|181526855|190390033|205173947|62738364|130287732|129965494|135603073|69118390|191762559|95823541|112745010|63585455|184364810|151988139|177930688|129443370|121555448|89540482|140735563|127514908|213367928|187207325|187800721|76499372|99075994|78580832|80475612|141857607|85733792|158508286|96770788|67645892|158879505|150673369|184324949|166490263|78020794|191505871|154225941|8839096|103736128|159576781|50902552|156685597|23735219|215842418|207135136|155343052|175304972|10756910|153803543|77941610|135576032|164586284|130874865|60277063|22914801|147842572|206263262|213763536|138900118|204093140|137421375|158282631
